ORF GenomeID    FID TransporterFamily   TransporterSubfamily    Substrate   AutoAnnotation  IsCurated

PN96_RS07510	vn10844		vn10844	AAE		539	aspartate:alanine antiporter		2.A.81		X
PN96_RS18700	vn10844		vn10844	TRAP-T		346	C4-dicarboxylate		2.A.56		X
PN96_RS18740	vn10844		vn10844	TRAP-T		347	C4-dicarboxylate		2.A.56		X
PN96_RS18745	vn10844		vn10844	TRAP-T		348	C4-dicarboxylate		2.A.56		X
PN96_RS18750	vn10844		vn10844	TRAP-T		349	C4-dicarboxylate		2.A.56		X
PN96_RS18845	vn10844		vn10844	TRAP-T		350	C4-dicarboxylate		2.A.56		X
PN96_RS18850	vn10844		vn10844	TRAP-T		351	C4-dicarboxylate		2.A.56		X
PN96_RS18855	vn10844		vn10844	TRAP-T		352	C4-dicarboxylate		2.A.56		X
PN96_RS18890	vn10844		vn10844	TRAP-T		353	C4-dicarboxylate		2.A.56		X
PN96_RS18895	vn10844		vn10844	TRAP-T		354	C4-dicarboxylate		2.A.56		X
PN96_RS18900	vn10844		vn10844	TRAP-T		355	C4-dicarboxylate		2.A.56		X
PN96_RS19560	vn10844		vn10844	TRAP-T		356	C4-dicarboxylate		2.A.56		X
PN96_RS19565	vn10844		vn10844	TRAP-T		357	C4-dicarboxylate		2.A.56		X
PN96_RS19570	vn10844		vn10844	TRAP-T		358	C4-dicarboxylate		2.A.56		X
PN96_RS20265	vn10844		vn10844	TRAP-T		360	C4-dicarboxylate		2.A.56		X
PN96_RS20270	vn10844		vn10844	TRAP-T		361	C4-dicarboxylate		2.A.56		X
PN96_RS20275	vn10844		vn10844	TRAP-T		362	C4-dicarboxylate		2.A.56		X
PN96_RS20430	vn10844		vn10844	TRAP-T		364	C4-dicarboxylate		2.A.56		X
PN96_RS20435	vn10844		vn10844	TRAP-T		365	C4-dicarboxylate		2.A.56		X
PN96_RS20440	vn10844		vn10844	TRAP-T		366	C4-dicarboxylate		2.A.56		X
PN96_RS22190	vn10844		vn10844	TRAP-T		369	C4-dicarboxylate		2.A.56		X
PN96_RS22195	vn10844		vn10844	TRAP-T		370	C4-dicarboxylate		2.A.56		X
PN96_RS22200	vn10844		vn10844	TRAP-T		371	C4-dicarboxylate		2.A.56		X
PN96_RS22320	vn10844		vn10844	TRAP-T		372	C4-dicarboxylate		2.A.56		X
PN96_RS22325	vn10844		vn10844	TRAP-T		373	C4-dicarboxylate		2.A.56		X
PN96_RS22330	vn10844		vn10844	TRAP-T		374	C4-dicarboxylate		2.A.56		X
PN96_RS22515	vn10844		vn10844	TRAP-T		375	C4-dicarboxylate		2.A.56		X
PN96_RS22520	vn10844		vn10844	TRAP-T		376	C4-dicarboxylate		2.A.56		X
PN96_RS22525	vn10844		vn10844	TRAP-T		377	C4-dicarboxylate		2.A.56		X
PN96_RS23225	vn10844		vn10844	TRAP-T		378	C4-dicarboxylate		2.A.56		X
PN96_RS23230	vn10844		vn10844	TRAP-T		379	C4-dicarboxylate		2.A.56		X
PN96_RS23235	vn10844		vn10844	TRAP-T		380	C4-dicarboxylate		2.A.56		X
PN96_RS23510	vn10844		vn10844	TRAP-T		381	C4-dicarboxylate		2.A.56		X
PN96_RS23515	vn10844		vn10844	TRAP-T		382	C4-dicarboxylate		2.A.56		X
PN96_RS23520	vn10844		vn10844	TRAP-T		383	C4-dicarboxylate		2.A.56		X
PN96_RS02885	vn10844		vn10844	TRIC		67	unknown substrate		1.A.62		X
PN96_RS11285	vn10844		vn10844	TRIC		68	unknown substrate		1.A.62		X
PN96_RS09170	vn10844		vn10844	Trk		272	potassium ion uptake		2.A.38		X
PN96_RS13405	vn10844		vn10844	Trk		275	potassium ion uptake		2.A.38		X
PN96_RS13705	vn10844		vn10844	Trk		276	potassium ion uptake		2.A.38		X
PN96_RS05400	vn10844		vn10844	TTT	TctA	537	tricarboxylate (TctA)		2.A.80		X
PN96_RS05410	vn10844		vn10844	TTT	TctC	538	tricarboxylate (TctC)		2.A.80		X
PN96_RS03225	vn10844		vn10844	VIC		9	potassium ion channel		1.A.1		X
PN96_RS08215	vn10844		vn10844	VIC		12	potassium ion channel		1.A.1		X
PN96_RS11535	vn10844		vn10844	VIC		13	potassium ion channel		1.A.1		X
PN96_RS15705	vn10844		vn10844	VIC		15	potassium ion channel		1.A.1		X
PN96_RS00835	vn10844		vn10844	YggT		1400	unknown substrate		9.A.4		X
