Gene,COG,Description,Name,GOs,ECs,KEGG_ko,KEGG_Reaction,KEGG_TC,CAZy,PFAMs
PN96_RS12140,J,"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome",rplV,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02890,,,,Ribosomal_L22
PN96_RS12145,J,Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,rpsS,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02965,,,,Ribosomal_S19
PN96_RS12150,J,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity",rplB,"GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0003824,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016740,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02886,,,,"Ribosomal_L2,Ribosomal_L2_C"
PN96_RS12155,J,One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome,rplW,"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02892,,,,Ribosomal_L23
PN96_RS12160,J,Forms part of the polypeptide exit tunnel,rplD,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006139,GO:0006351,GO:0006353,GO:0006355,GO:0006412,GO:0006417,GO:0006518,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0015934,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0031323,GO:0031326,GO:0032268,GO:0032774,GO:0032991,GO:0034248,GO:0034641,GO:0034645,GO:0034654,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1903506,GO:1990904,GO:2000112,GO:2001141",,ko:K02926,,,,Ribosomal_L4
PN96_RS12165,J,"One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit",rplC,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02906,,,,Ribosomal_L3
PN96_RS12170,J,Involved in the binding of tRNA to the ribosomes,rpsJ,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02946,,,,Ribosomal_S10
PN96_RS12175,J,Binds the 23S rRNA,rpmE,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046872,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02909,,,,Ribosomal_L31
PN96_RS12180,L,"Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA",priA,,,ko:K04066,,,,"DEAD,Helicase_C"
PN96_RS12185,K,transcriptional,cytR,,,ko:K05499,,,,"LacI,Peripla_BP_3"
PN96_RS12190,D,cell division protein,ftsN,,,ko:K03591,,,,SPOR
PN96_RS12195,O,Protease subunit of a proteasome-like degradation complex believed to be a general protein degrading machinery,hslV,"GO:0000502,GO:0003674,GO:0003824,GO:0004175,GO:0004298,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005839,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009376,GO:0009987,GO:0016787,GO:0019538,GO:0030163,GO:0031597,GO:0032991,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046872,GO:0051603,GO:0070003,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1904949,GO:1905368,GO:1905369",3.4.25.2,ko:K01419,,,,Proteasome
PN96_RS12200,O,this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis,hslU,"GO:0000166,GO:0000502,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009376,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0030554,GO:0031597,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1902494,GO:1904949,GO:1905368,GO:1905369",,ko:K03667,,,,"AAA_2,ClpB_D2-small"
PN96_RS12205,H,Belongs to the MenA family. Type 1 subfamily,menA,,2.5.1.74,ko:K02548,"R05617,R06858,R10757",,,UbiA
PN96_RS12210,H,Globally modulates RNA abundance by binding to RNase E (Rne) and regulating its endonucleolytic activity. Can modulate Rne action in a substrate-dependent manner by altering the composition of the degradosome. Modulates RNA-binding and helicase activities of the degradosome,rraA,"GO:0003674,GO:0004857,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008428,GO:0019219,GO:0019222,GO:0030234,GO:0031323,GO:0043086,GO:0044092,GO:0044424,GO:0044464,GO:0050789,GO:0050790,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0065009,GO:0080090,GO:0098772",,ko:K02553,,,,RraA-like
PN96_RS12215,D,"Non-essential, abundant cell division factor that is required for proper Z-ring formation. It is recruited early to the divisome by direct interaction with FtsZ, stimulating Z-ring assembly and thereby promoting cell division earlier in the cell cycle. Its recruitment to the Z-ring requires functional FtsA or ZipA",zapB,"GO:0000003,GO:0000910,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0007049,GO:0008150,GO:0009987,GO:0016043,GO:0019954,GO:0022402,GO:0022414,GO:0022607,GO:0032505,GO:0032506,GO:0043093,GO:0044085,GO:0044424,GO:0044464,GO:0051301,GO:0071840,GO:0090529",,ko:K09892,,,,ZapB
PN96_RS12220,G,"COG1494 Fructose-1,6-bisphosphatase sedoheptulose 1,7-bisphosphatase and related proteins",glpX,,3.1.3.11,ko:K02446,"R00762,R04780",,,FBPase_glpX
PN96_RS12225,K,Transcriptional regulator,,,,,,,,"HTH_11,HTH_24,HTH_DeoR"
PN96_RS12230,S,Protein of unknown function (DUF3135),VV3022,,,,,,,DUF3135
PN96_RS12235,S,Protein of unknown function (DUF805),,,,,,,,DUF805
PN96_RS12240,S,Glycosyl transferase family 90,,,,,,,,Glyco_transf_90
PN96_RS12245,G,5-carboxymethyl-2-hydroxymuconate isomerase,hpcD,,5.3.3.10,ko:K01826,"R04379,R04482",,,CHMI
PN96_RS12250,G,Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P),tpiA,"GO:0003674,GO:0003824,GO:0004807,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006066,GO:0006071,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019400,GO:0019405,GO:0019438,GO:0019439,GO:0019563,GO:0019637,GO:0019682,GO:0019693,GO:0019751,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046164,GO:0046166,GO:0046174,GO:0046184,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616",5.3.1.1,ko:K01803,R01015,,,TIM
PN96_RS12255,KLT,PhoP regulatory network protein YrbL,,,,,,,,YrbL-PhoP_reg
PN96_RS12260,J,exonuclease of the beta-lactamase fold involved in RNA processing,,,,ko:K07576,,,,"Beta-Casp,Lactamase_B,RMMBL"
PN96_RS12265,GM,nucleoside-diphosphate sugar epimerases,,,,,,,,"CoA_binding_3,Polysacc_synt_2"
PN96_RS12270,E,Belongs to the DegT DnrJ EryC1 family,,,,,,,,DegT_DnrJ_EryC1
PN96_RS12275,S,Bacterial transferase hexapeptide (six repeats),,,,,,,,Hexapep
PN96_RS12280,M,COG2148 Sugar transferases involved in lipopolysaccharide synthesis,,,,,,,,Bac_transf
PN96_RS12285,G,COG2301 Citrate lyase beta subunit,mcl,,"3.1.2.30,4.1.3.24,4.1.3.34","ko:K01644,ko:K19282","R00362,R00473,R10612",,,HpcH_HpaI
PN96_RS12290,M,Glycosyl transferases group 1,,,,,,,,"Glyco_trans_4_2,Glycos_transf_1"
PN96_RS12295,M,Glycosyltransferase like family 2,lgtA,,,,,,,Glycos_transf_2
PN96_RS12300,M,Glycosyl transferase 4-like,,,,,,,,"Glyco_transf_4,Glycos_transf_1"
PN96_RS12310,HJ,ligase activity,,,,,,,,RimK
PN96_RS12315,S,Polysaccharide biosynthesis protein,,,,ko:K03328,,2.A.66.2,,Polysacc_synt
PN96_RS12320,M,COG0451 Nucleoside-diphosphate-sugar epimerases,,,5.1.3.7,ko:K02473,R00418,,,"Epimerase,GDP_Man_Dehyd"
PN96_RS12325,J,PFAM S23 ribosomal protein,,,,,,,,23S_rRNA_IVP
PN96_RS12330,M,Belongs to the UDP-glucose GDP-mannose dehydrogenase family,,,,ko:K02474,R06894,,,"UDPG_MGDP_dh,UDPG_MGDP_dh_C,UDPG_MGDP_dh_N"
PN96_RS12335,D,protein involved in exopolysaccharide biosynthesis,wzc,,,ko:K16692,,,,"AAA_31,GNVR,Wzz"
PN96_RS12340,T,Belongs to the low molecular weight phosphotyrosine protein phosphatase family,wzb,,3.1.3.48,"ko:K01104,ko:K20945",,,,LMWPc
PN96_RS12345,M,Periplasmic protein involved in polysaccharide export,wza,,,ko:K01991,,1.B.18,,"Poly_export,SLBB"
PN96_RS12350,C,Belongs to the UDP-glucose GDP-mannose dehydrogenase family,ugd,,1.1.1.22,ko:K00012,R00286,,,"UDPG_MGDP_dh,UDPG_MGDP_dh_C,UDPG_MGDP_dh_N"
PN96_RS12360,M,Polysaccharide biosynthesis/export protein,,,,,,,,"Poly_export,SLBB"
PN96_RS12365,P,ABC-2 type transporter,kpsM,,,ko:K09688,,3.A.1.101,,ABC2_membrane
PN96_RS12370,M,COG3524 Capsule polysaccharide export protein,,,,ko:K10107,,3.A.1.101,,
PN96_RS12375,H,"Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis",,,2.7.7.24,ko:K00973,R02328,,,NTP_transferase
PN96_RS12380,G,"Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4- hexulose",rfbC,,5.1.3.13,ko:K01790,R06514,,,dTDP_sugar_isom
PN96_RS12385,S,"Glycosyl transferase, family 2",,,,,,,,
PN96_RS12390,S,Glycosyl transferase family 2,,,,ko:K12990,,,GT2,Glycos_transf_2
PN96_RS12395,M,Catalyzes the reduction of dTDP-6-deoxy-L-lyxo-4- hexulose to yield dTDP-L-rhamnose,,,1.1.1.133,ko:K00067,R02777,,,RmlD_sub_bind
PN96_RS12400,M,Belongs to the NAD(P)-dependent epimerase dehydratase family. dTDP-glucose dehydratase subfamily,rmlB,"GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0006139,GO:0006629,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008460,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009225,GO:0009226,GO:0009243,GO:0009987,GO:0016051,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019305,GO:0019438,GO:0033692,GO:0034637,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044271,GO:0044281,GO:0045226,GO:0046379,GO:0046383,GO:0046402,GO:0046483,GO:0055086,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901576,GO:1903509",4.2.1.46,ko:K01710,R06513,,,GDP_Man_Dehyd
PN96_RS12425,M,UTP--glucose-1-phosphate uridylyltransferase,,,,,,,,
PN96_RS12430,G,Xylose isomerase-like TIM barrel,,,,,,,,AP_endonuc_2
PN96_RS12440,S,Hydrolase,,,,,,,,
PN96_RS12445,M,Rhamnan synthesis protein F,,,,,,,,RgpF
PN96_RS12465,GM,ATPases associated with a variety of cellular activities,kpsT,,3.6.3.38,"ko:K09689,ko:K09691",,"3.A.1.101,3.A.1.103",,ABC_tran
PN96_RS12470,P,COG0471 Di- and tricarboxylate transporters,,,,,,,,"CitMHS,TrkA_C"
PN96_RS12475,H,Sulfate adenylyltransferase subunit 2,cysD,,2.7.7.4,ko:K00957,"R00529,R04929",,,PAPS_reduct
PN96_RS12480,F,Catalyzes the synthesis of activated sulfate,cysC,,2.7.1.25,ko:K00860,"R00509,R04928",,,APS_kinase
PN96_RS12485,L,single-stranded DNA 5'-3' exodeoxyribonuclease activity,,,,,,,,DHHA1
PN96_RS12490,H,Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN NodQ subfamily,cysN,,2.7.7.4,ko:K00956,"R00529,R04929",,,"GTP_EFTU,GTP_EFTU_D3"
PN96_RS12495,M,"Catalyzes the transfer of the GlcNAc-1-phosphate moiety from UDP-GlcNAc onto the carrier lipid undecaprenyl phosphate (C55-P), yielding GlcNAc-pyrophosphoryl-undecaprenyl (GlcNAc-PP- C55)",wecA,,"2.7.8.33,2.7.8.35",ko:K02851,R08856,,,Glycos_transf_4
PN96_RS12500,,,,,,,,,,
PN96_RS12505,S,"Group 4 capsule polysaccharide lipoprotein gfcB, YjbF",VP0217,,,,,,,YjbF
PN96_RS12510,S,Capsule biosynthesis GfcC,,,,,,,,Caps_synth_GfcC
PN96_RS12515,M,Exopolysaccharide biosynthesis protein YbjH,wbfB,,,,,,,YjbH
PN96_RS12520,GM,Catalyzes the interconversion between ADP-D-glycero- beta-D-manno-heptose and ADP-L-glycero-beta-D-manno-heptose via an epimerization at carbon 6 of the heptose,hldD,"GO:0000166,GO:0000271,GO:0003674,GO:0003824,GO:0005488,GO:0005975,GO:0005976,GO:0006139,GO:0006629,GO:0006725,GO:0006793,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0008712,GO:0009058,GO:0009059,GO:0009103,GO:0009225,GO:0009226,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016051,GO:0016853,GO:0016854,GO:0016857,GO:0018130,GO:0019438,GO:0033692,GO:0034637,GO:0034641,GO:0034645,GO:0034654,GO:0036094,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044271,GO:0044281,GO:0046401,GO:0046483,GO:0048037,GO:0050661,GO:0050662,GO:0055086,GO:0071704,GO:0097159,GO:0097170,GO:0097171,GO:1901135,GO:1901137,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903509",5.1.3.20,ko:K03274,R05176,,,Epimerase
PN96_RS12525,M,Catalyzes the transfer of myristate from myristoyl-acyl carrier protein (ACP) to Kdo(2)-(lauroyl)-lipid IV(A) to form Kdo(2)-lipid A,lpxM,,2.3.1.243,ko:K02560,R05075,,,Lip_A_acyltrans
PN96_RS12530,M,ADP-heptose--LPS heptosyltransferase II,rfaF,,,ko:K02843,,,GT9,Glyco_transf_9
PN96_RS12535,M,3-deoxy-D-manno-octulosonic-acid transferase,kdtA,,"2.4.99.12,2.4.99.13,2.4.99.14,2.4.99.15",ko:K02527,"R04658,R05074,R09763",,GT30,"Glycos_transf_1,Glycos_transf_N"
PN96_RS12540,H,"Glycosyl transferase, family 2",,,,,,,,
PN96_RS12545,M,"transferase activity, transferring glycosyl groups",,,,,,,,Glycos_transf_1
PN96_RS12550,M,UDP-galactopyranose mutase,,,5.4.99.9,ko:K01854,"R00505,R09009",,,"GLF,NAD_binding_8"
PN96_RS12555,H,Catalyzes the ATP-dependent phosphorylation of the 3- deoxy-D-manno-octulosonic acid (Kdo) residue in Kdo-lipid IV(A) at the 4-OH position,kdkA,"GO:0000166,GO:0000271,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006464,GO:0006468,GO:0006629,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016020,GO:0016051,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033692,GO:0034637,GO:0034645,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044267,GO:0044464,GO:0046401,GO:0071704,GO:0071944,GO:0097159,GO:0097367,GO:0140096,GO:1901135,GO:1901137,GO:1901265,GO:1901363,GO:1901564,GO:1901576,GO:1903509",2.7.1.166,ko:K11211,R09767,,,Kdo
PN96_RS12560,M,Recycling of diacylglycerol produced during the turnover of membrane phospholipid,dgkA,,2.7.1.107,ko:K00901,R02240,,,DAGK_prokar
PN96_RS12565,M,Catalyzes the addition of the first glucose residue to the LPS core,,,,ko:K02844,,,GT4,"Glyco_transf_4,Glycos_transf_1"
PN96_RS12570,H,Glycosyltransferase family 9 (heptosyltransferase),,,,,,,,Glyco_transf_9
PN96_RS12575,M,COG0859 ADP-heptose LPS heptosyltransferase,,,,ko:K12982,,,GT9,Glyco_transf_9
PN96_RS12580,M,Glycosyl transferases group 1,,,,,,,,Glycos_transf_1
PN96_RS12585,H,"Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate",coaD,"GO:0000166,GO:0003674,GO:0003824,GO:0004595,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0015936,GO:0015937,GO:0016740,GO:0016772,GO:0016779,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046390,GO:0046483,GO:0051186,GO:0051188,GO:0055086,GO:0070566,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",2.7.7.3,ko:K00954,R03035,,,CTP_transf_like
