Protein,KO,Description
PN96_RS21960,K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"
PN96_RS23060,,
PN96_RS06080,,
PN96_RS01550,K02033,ABC.PE.P; peptide/nickel transport system permease protein
PN96_RS06110,,
PN96_RS08490,K07090,K07090; uncharacterized protein
PN96_RS01780,K01839,deoB; phosphopentomutase [EC:5.4.2.7]
PN96_RS18000,K11209,"yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]"
PN96_RS10820,,
PN96_RS10875,,
PN96_RS07345,,
PN96_RS19190,,
PN96_RS11670,K02800,"mtlA, cmtA; mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]"
PN96_RS23575,,
PN96_RS17965,,
PN96_RS19490,K13819,K13819; NifU-like protein
PN96_RS01390,K01673,"cynT, can; carbonic anhydrase [EC:4.2.1.1]"
PN96_RS14070,K01586,lysA; diaminopimelate decarboxylase [EC:4.1.1.20]
PN96_RS20100,,
PN96_RS20830,,
PN96_RS17275,K05685,macB; macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]
PN96_RS12550,K01854,glf; UDP-galactopyranose mutase [EC:5.4.99.9]
PN96_RS18605,K05550,"benB-xylY; benzoate/toluate 1,2-dioxygenase subunit beta [EC:1.14.12.10 1.14.12.-]"
PN96_RS24165,,
PN96_RS16230,K08720,ompU; outer membrane protein OmpU
PN96_RS22775,,
PN96_RS20615,,
PN96_RS23610,K03451,"TC.BCT; betaine/carnitine transporter, BCCT family"
PN96_RS10915,K05807,bamD; outer membrane protein assembly factor BamD
PN96_RS04145,K07231,K07231; putative iron-regulated protein
PN96_RS07360,K07126,K07126; uncharacterized protein
PN96_RS18515,,
PN96_RS15475,,
PN96_RS07690,K06969,rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
PN96_RS10510,,
PN96_RS20680,,
PN96_RS22540,,
PN96_RS02375,K02337,dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]
PN96_RS11360,K03588,"ftsW, spoVE; cell division protein FtsW"
PN96_RS16790,,
PN96_RS01235,K01573,oadG; oxaloacetate decarboxylase (Na+ extruding) subunit gamma
PN96_RS22270,,
PN96_RS01425,K00970,pcnB; poly(A) polymerase [EC:2.7.7.19]
PN96_RS06025,,
PN96_RS08480,,
PN96_RS05875,,
PN96_RS13975,,
PN96_RS16345,K04063,"osmC, ohr; lipoyl-dependent peroxiredoxin [EC:1.11.1.28]"
PN96_RS18125,K06950,K06950; uncharacterized protein
PN96_RS19710,K03488,"licT, bglG; beta-glucoside operon transcriptional antiterminator"
PN96_RS18010,,
PN96_RS09415,K00241,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit"
PN96_RS08920,K09914,K09914; putative lipoprotein
PN96_RS00835,K02221,yggT; YggT family protein
PN96_RS05660,K03797,"E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]"
PN96_RS06760,K01800,"maiA, GSTZ1; maleylacetoacetate isomerase [EC:5.2.1.2]"
PN96_RS17975,,
PN96_RS22255,K02065,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein"
PN96_RS14890,K13051,"ASRGL1, iaaA; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]"
PN96_RS20605,K21993,fdhC; formate transporter
PN96_RS16050,K11928,putP; sodium/proline symporter
PN96_RS18610,K05784,"benC-xylZ; benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]"
PN96_RS04165,K21470,"ycbB; L,D-transpeptidase YcbB"
PN96_RS14865,K06158,"ABCF3; ATP-binding cassette, subfamily F, member 3"
PN96_RS19105,K09141,K09141; uncharacterized protein
PN96_RS15865,,
PN96_RS12645,,
PN96_RS18920,K02611,"paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]"
PN96_RS03770,K13041,"ttrR; two-component system, LuxR family, response regulator TtrR"
PN96_RS05495,,
PN96_RS08760,K11075,"potH, spuG; putrescine transport system permease protein"
PN96_RS20550,,
PN96_RS09275,K03608,minE; cell division topological specificity factor
PN96_RS13670,K03673,dsbA; protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
PN96_RS13230,K01625,eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
PN96_RS03065,,
PN96_RS03365,K03636,"moaD, cysO; sulfur-carrier protein"
PN96_RS11610,K09117,K09117; uncharacterized protein
PN96_RS17080,K01480,speB; agmatinase [EC:3.5.3.11]
PN96_RS10385,,
PN96_RS13745,K07479,yrdD; putative DNA topoisomerase
PN96_RS13325,K18136,"acrR; TetR/AcrR family transcriptional regulator, multidrug resistance operon repressor"
PN96_RS19145,K03522,"fixB, etfA; electron transfer flavoprotein alpha subunit"
PN96_RS05095,K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PN96_RS03810,K05844,rimK; ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
PN96_RS18860,,
PN96_RS16070,,
PN96_RS08180,,
PN96_RS13250,K06145,"gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor"
PN96_RS15550,K03303,"lutP, lctP; lactate permease"
PN96_RS10040,K02340,holA; DNA polymerase III subunit delta [EC:2.7.7.7]
PN96_RS01345,K02650,pilA; type IV pilus assembly protein PilA
PN96_RS14200,K03089,rpoH; RNA polymerase sigma-32 factor
PN96_RS18230,,
PN96_RS07210,K08289,purT; phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]
PN96_RS05635,,
PN96_RS04825,K08138,"xylE; MFS transporter, SP family, xylose:H+ symportor"
PN96_RS17620,K02053,ABC.SP.P; putative spermidine/putrescine transport system permease protein
PN96_RS14290,,
PN96_RS08985,,
PN96_RS03510,K03321,"TC.SULP; sulfate permease, SulP family"
PN96_RS11655,,
PN96_RS05270,,
PN96_RS14455,K11105,"cvrA, nhaP2; potassium/hydrogen antiporter"
PN96_RS20690,,
PN96_RS01790,K07186,smp; membrane protein
PN96_RS15420,K02040,pstS; phosphate transport system substrate-binding protein
PN96_RS10755,K02039,phoU; phosphate transport system protein
PN96_RS08705,,
PN96_RS15505,K02573,napG; ferredoxin-type protein NapG
PN96_RS02595,K06603,flaG; flagellar protein FlaG
PN96_RS03910,K10806,yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-]
PN96_RS14610,K22719,envC; murein hydrolase activator
PN96_RS17175,K01638,"aceB, glcB; malate synthase [EC:2.3.3.9]"
PN96_RS09870,K00948,"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
PN96_RS22605,K02115,"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
PN96_RS01540,K02031,ddpD; peptide/nickel transport system ATP-binding protein
PN96_RS12220,K02446,"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
PN96_RS15625,,
PN96_RS03605,K02779,ptsG; glucose PTS system EIICB or EIICBA component [EC:2.7.1.199]
PN96_RS09365,K09815,znuA; zinc transport system substrate-binding protein
PN96_RS18440,,
PN96_RS02315,K02838,"frr, MRRF, RRF; ribosome recycling factor"
PN96_RS02345,K06142,"hlpA, ompH; outer membrane protein"
PN96_RS03040,,
PN96_RS14635,K15633,"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
PN96_RS17505,,
PN96_RS22895,,
PN96_RS15120,K01775,alr; alanine racemase [EC:5.1.1.1]
PN96_RS08070,K06169,miaE; tRNA 2-(methylsulfanyl)-N6-isopentenyladenosine37 hydroxylase [EC:1.14.99.69]
PN96_RS02190,K02346,dinB; DNA polymerase IV [EC:2.7.7.7]
PN96_RS12365,K09688,kpsM; capsular polysaccharide transport system permease protein
PN96_RS15275,,
PN96_RS12145,K02965,"RP-S19, RSM19, rpsS; small subunit ribosomal protein S19"
PN96_RS22395,,
PN96_RS04975,,
PN96_RS10675,K13643,"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
PN96_RS03840,,
PN96_RS18090,K03673,dsbA; protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]
PN96_RS20930,,
PN96_RS01875,K02282,"cpaE, tadZ; pilus assembly protein CpaE"
PN96_RS19025,,
PN96_RS04945,,
PN96_RS08040,K03466,"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family"
PN96_RS18545,,
PN96_RS20785,K02017,modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]
PN96_RS15140,K09823,"zur; Fur family transcriptional regulator, zinc uptake regulator"
PN96_RS21805,K00925,ackA; acetate kinase [EC:2.7.2.1]
PN96_RS08415,K03168,topA; DNA topoisomerase I [EC:5.6.2.1]
PN96_RS11900,K02558,mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
PN96_RS03030,K06188,aqpZ; aquaporin Z
PN96_RS11965,K09950,K09950; uncharacterized protein
PN96_RS12945,K07712,"glnG, ntrC; two-component system, NtrC family, nitrogen regulation response regulator GlnG"
PN96_RS18725,K10219,ligC; 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [EC:1.1.1.312]
PN96_RS18830,K00481,pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]
PN96_RS03275,K21218,motY; sodium-type flagellar protein MotY
PN96_RS09710,K02388,flgC; flagellar basal-body rod protein FlgC
PN96_RS06555,,
PN96_RS21325,,
PN96_RS00540,K07323,mlaC; phospholipid transport system substrate-binding protein
PN96_RS20710,K07112,K07112; uncharacterized protein
PN96_RS23510,,
PN96_RS14905,K03772,fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
PN96_RS12485,,
PN96_RS04705,,
PN96_RS02665,K02414,fliK; flagellar hook-length control protein FliK
PN96_RS03450,K05541,dusC; tRNA-dihydrouridine synthase C [EC:1.-.-.-]
PN96_RS01695,K02956,"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
PN96_RS12845,K02458,gspI; general secretion pathway protein I
PN96_RS07165,,
PN96_RS08015,K01012,bioB; biotin synthase [EC:2.8.1.6]
PN96_RS11285,,
PN96_RS11135,K04763,xerD; integrase/recombinase XerD
PN96_RS19325,,
PN96_RS16485,K03496,"parA, soj; chromosome partitioning protein"
PN96_RS21370,K09699,"DBT, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]"
PN96_RS01825,,
PN96_RS07810,K02571,napE; periplasmic nitrate reductase NapE
PN96_RS15345,K12537,"hasE, prtE, rsaE, prsE, eexE; membrane fusion protein, type I secretion system"
PN96_RS16900,K03707,tenA; thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
PN96_RS00300,,
PN96_RS03400,K07393,"ECM4, yqjG; glutathionyl-hydroquinone reductase [EC:1.8.5.7]"
PN96_RS01025,K03597,rseA; sigma-E factor negative regulatory protein RseA
PN96_RS09015,K01661,menB; naphthoate synthase [EC:4.1.3.36]
PN96_RS20480,,
PN96_RS16225,K16091,fecA; Fe(3+) dicitrate transport protein
PN96_RS19910,K07727,K07727; putative transcriptional regulator
PN96_RS11395,K03438,"mraW, rsmH; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]"
PN96_RS02275,,
PN96_RS06470,,
PN96_RS16915,K15600,thiZ; putative hydroxymethylpyrimidine transport system ATP-binding protein
PN96_RS03765,K13040,"ttrS; two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]"
PN96_RS02480,K09938,K09938; uncharacterized protein
PN96_RS11215,K02553,"rraA, menG; regulator of ribonuclease activity A"
PN96_RS07520,K06445,fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]
PN96_RS07045,,
PN96_RS01910,,
PN96_RS20790,,
PN96_RS22675,K21833,"dgcA, ddhC; N,N-dimethylglycine/sarcosine dehydrogenase [EC:1.5.7.3]"
PN96_RS06810,,
PN96_RS14105,,
PN96_RS16475,K06957,tmcA; tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193]
PN96_RS01170,K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
PN96_RS07855,K03269,"lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
PN96_RS22935,,
PN96_RS07035,,
PN96_RS12585,K00954,"E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
PN96_RS20565,,
PN96_RS24175,,
PN96_RS02335,K11749,rseP; regulator of sigma E protease [EC:3.4.24.-]
PN96_RS01335,K02653,pilC; type IV pilus assembly protein PilC
PN96_RS08250,K03562,tolQ; biopolymer transport protein TolQ
PN96_RS10380,K04043,"dnaK, HSPA9; molecular chaperone DnaK"
PN96_RS18845,,
PN96_RS00170,,
PN96_RS06640,,
PN96_RS16415,,
PN96_RS22665,K25960,"etfA; N,N-dimethylglycine/sarcosine catabolism electron transfer flavoprotein subunit alpha"
PN96_RS21825,K01628,fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]
PN96_RS15195,K20920,vpsM; polysaccharide biosynthesis protein VpsM
PN96_RS21725,K02297,cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
PN96_RS01965,K16074,zntB; zinc transporter
PN96_RS19510,K02597,nifZ; nitrogen fixation protein NifZ
PN96_RS16605,K09897,K09897; uncharacterized protein
PN96_RS04550,,
PN96_RS19555,K00851,"idnK, gntK; gluconokinase [EC:2.7.1.12]"
PN96_RS09460,,
PN96_RS03485,K03593,"mrp, NUBPL; ATP-binding protein involved in chromosome partitioning"
PN96_RS12720,K03832,tonB; periplasmic protein TonB
PN96_RS21365,K00167,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]"
PN96_RS00350,K12278,mshG; MSHA biogenesis protein MshG
PN96_RS04905,,
PN96_RS06210,,
PN96_RS15995,K15977,K15977; putative oxidoreductase
PN96_RS01005,K09159,cptB; antitoxin CptB
PN96_RS23485,K10215,ethA; monooxygenase [EC:1.14.13.-]
PN96_RS15580,K03704,cspA; cold shock protein
PN96_RS06735,K06152,E1.1.99.3G; gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]
PN96_RS16760,,
PN96_RS14435,K01679,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
PN96_RS08580,K09161,K09161; uncharacterized protein
PN96_RS21170,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein
PN96_RS12595,,
PN96_RS00645,,
PN96_RS11620,K03086,rpoD; RNA polymerase primary sigma factor
PN96_RS16920,K00941,thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
PN96_RS17260,,
PN96_RS22350,,
PN96_RS22355,K03852,xsc; sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]
PN96_RS07025,,
PN96_RS09550,,
PN96_RS11710,K00873,"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
PN96_RS20000,,
PN96_RS14600,,
PN96_RS06015,K03750,moeA; molybdopterin molybdotransferase [EC:2.10.1.1]
PN96_RS14960,K00029,maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
PN96_RS13690,K06377,spo0M; sporulation-control protein
PN96_RS04405,,
PN96_RS15355,,
PN96_RS17870,K01712,"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]"
PN96_RS17910,K24204,hxpB; mannitol-1-/sugar-/sorbitol-6-/2-deoxyglucose-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50 3.1.3.68]
PN96_RS16285,,
PN96_RS03330,K03702,uvrB; excinuclease ABC subunit B
PN96_RS16170,,
PN96_RS03580,K00943,"tmk, DTYMK; dTMP kinase [EC:2.7.4.9]"
PN96_RS00260,K03316,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter"
PN96_RS04450,,
PN96_RS01920,,
PN96_RS08350,K03804,mukE; chromosome partition protein MukE
PN96_RS13245,K01690,edd; phosphogluconate dehydratase [EC:4.2.1.12]
PN96_RS01930,K07240,chrA; chromate transporter
PN96_RS22685,K01273,DPEP; membrane dipeptidase [EC:3.4.13.19]
PN96_RS04255,,
PN96_RS02830,,
PN96_RS01400,K01990,ABC-2.A; ABC-2 type transport system ATP-binding protein
PN96_RS21635,,
PN96_RS15685,,
PN96_RS13105,,
PN96_RS15185,K10111,"malK, mtlK, thuK; multiple sugar transport system ATP-binding protein [EC:7.5.2.-]"
PN96_RS22020,,
PN96_RS14550,K07507,mgtC; putative Mg2+ transporter-C (MgtC) family protein
PN96_RS05985,K02482,"flgS; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]"
PN96_RS20895,K09181,yfiQ; acetyltransferase
PN96_RS23355,,
PN96_RS15085,K01783,"rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]"
PN96_RS16500,K02032,ddpF; peptide/nickel transport system ATP-binding protein
PN96_RS05295,K06718,"ectA; L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]"
PN96_RS01020,K03088,"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
PN96_RS01175,K00928,lysC; aspartate kinase [EC:2.7.2.4]
PN96_RS05320,K01992,ABC-2.P; ABC-2 type transport system permease protein
PN96_RS19680,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"
PN96_RS13695,K11068,hlyIII; hemolysin III
PN96_RS02365,K00748,lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
PN96_RS13495,K02313,dnaA; chromosomal replication initiator protein
PN96_RS08495,K04067,priC; primosomal replication protein N''
PN96_RS04840,K01734,mgsA; methylglyoxal synthase [EC:4.2.3.3]
PN96_RS14570,K00247,frdD; succinate dehydrogenase subunit D
PN96_RS19445,K02586,nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
PN96_RS10610,K01892,"HARS, hisS; histidyl-tRNA synthetase [EC:6.1.1.21]"
PN96_RS10590,K01872,"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"
PN96_RS02310,K09903,pyrH; uridylate kinase [EC:2.7.4.22]
PN96_RS17840,K19784,"chrR, NQR; chromate reductase, NAD(P)H dehydrogenase (quinone)"
PN96_RS20490,K01515,nudF; ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]
PN96_RS15205,K16554,"exoP, vpsO; polysaccharide biosynthesis transport protein [EC:2.7.10.3]"
PN96_RS04750,,
PN96_RS18330,K02572,napF; ferredoxin-type protein NapF
PN96_RS03555,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
PN96_RS09755,K24343,flgT; flagellar H-ring protein FlgT
PN96_RS13335,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"
PN96_RS03690,K01591,pyrF; orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
PN96_RS10045,K09710,ybeB; ribosome-associated protein
PN96_RS23460,,
PN96_RS04535,,
PN96_RS17780,K03566,"gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator"
PN96_RS16935,K16317,trmY; tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]
PN96_RS01265,K01919,gshA; glutamate--cysteine ligase [EC:6.3.2.2]
PN96_RS02200,,
PN96_RS17365,K01752,"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]"
PN96_RS19585,,
PN96_RS04790,K03338,iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]
PN96_RS12030,,
PN96_RS00370,K10926,mshC; MSHA pilin protein MshC
PN96_RS10480,K01629,rhaD; rhamnulose-1-phosphate aldolase [EC:4.1.2.19]
PN96_RS16000,,
PN96_RS05475,,
PN96_RS22320,,
PN96_RS02445,K06445,fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]
PN96_RS07890,K01089,hisB; imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase [EC:4.2.1.19 3.1.3.15]
PN96_RS12345,K01991,"wza, gfcE; polysaccharide biosynthesis/export protein"
PN96_RS14080,K09921,K09921; uncharacterized protein
PN96_RS00650,,
PN96_RS08925,K10805,tesB; acyl-CoA thioesterase II [EC:3.1.2.-]
PN96_RS13110,,
PN96_RS24345,K01996,livF; branched-chain amino acid transport system ATP-binding protein
PN96_RS07110,,
PN96_RS14075,K01778,dapF; diaminopimelate epimerase [EC:5.1.1.7]
PN96_RS21795,,
PN96_RS01355,K03806,ampD; N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]
PN96_RS09845,K02493,"hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]"
PN96_RS19290,K13766,liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
PN96_RS17010,K01126,"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
PN96_RS01255,,
PN96_RS05760,,
PN96_RS09190,K16089,"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
PN96_RS19975,K02529,"galR; LacI family transcriptional regulator, galactose operon repressor"
PN96_RS21990,,
PN96_RS03305,K03614,rnfD; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2]
PN96_RS15425,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS15815,K00705,malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]
PN96_RS21020,,
PN96_RS21070,,
PN96_RS03110,K00219,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]"
PN96_RS17425,K03972,pspE; phage shock protein E
PN96_RS13185,K06149,uspA; universal stress protein A
PN96_RS02305,K02357,"tsf, TSFM; elongation factor Ts"
PN96_RS19405,K07684,"narL; two-component system, NarL family, nitrate/nitrite response regulator NarL"
PN96_RS20910,,
PN96_RS04950,,
PN96_RS12880,K04762,hslR; ribosome-associated heat shock protein Hsp15
PN96_RS07655,K05778,ynjC; putative thiamine transport system permease protein
PN96_RS13550,K03501,"gidB, rsmG; 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]"
PN96_RS13320,K03656,rep; ATP-dependent DNA helicase Rep [EC:5.6.2.4]
PN96_RS18300,K03821,"phaC, phbC; poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC [EC:2.3.1.304]"
PN96_RS22770,,
PN96_RS13575,K02110,"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
PN96_RS19335,K00020,"HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"
PN96_RS21055,,
PN96_RS23440,K06889,K06889; uncharacterized protein
PN96_RS10310,,
PN96_RS03505,K25307,"wzb, etp; low molecular weight protein-tyrosine phosphatase [EC:3.1.3.48]"
PN96_RS05590,K09969,"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
PN96_RS03015,K02343,dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
PN96_RS21245,K02437,"gcvH, GCSH; glycine cleavage system H protein"
PN96_RS09425,,
PN96_RS12010,K05591,dbpA; ATP-dependent RNA helicase DbpA [EC:5.6.2.6]
PN96_RS11155,K05590,srmB; ATP-dependent RNA helicase SrmB [EC:5.6.2.7]
PN96_RS10920,,
PN96_RS02195,K03654,recQ; ATP-dependent DNA helicase RecQ [EC:5.6.2.4]
PN96_RS09025,K02551,menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
PN96_RS12170,K02946,"RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
PN96_RS00095,K02601,nusG; transcription termination/antitermination protein NusG
PN96_RS00790,,
PN96_RS19365,K02001,proW; glycine betaine/proline transport system permease protein
PN96_RS06250,K03189,ureG; urease accessory protein
PN96_RS14825,K00673,astA; arginine N-succinyltransferase [EC:2.3.1.109]
PN96_RS23470,,
PN96_RS23045,,
PN96_RS13455,K01878,glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
PN96_RS14605,,
PN96_RS18070,K03760,"eptA, pmrC; lipid A ethanolaminephosphotransferase [EC:2.7.8.43]"
PN96_RS22610,K02111,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
PN96_RS02750,K03496,"parA, soj; chromosome partitioning protein"
PN96_RS07900,K00013,hisD; histidinol dehydrogenase [EC:1.1.1.23]
PN96_RS02145,K00346,nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
PN96_RS18550,,
PN96_RS19750,,
PN96_RS14385,K05540,dusB; tRNA-dihydrouridine synthase B [EC:1.-.-.-]
PN96_RS15700,,
PN96_RS05525,,
PN96_RS16155,K01784,"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"
PN96_RS13770,K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25]
PN96_RS03025,K06187,recR; recombination protein RecR
PN96_RS02815,K04754,"mlaA, vacJ; phospholipid-binding lipoprotein MlaA"
PN96_RS03170,K23183,fecC; ferric citrate transport system permease protein
PN96_RS19220,K00459,"ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]"
PN96_RS03155,,
PN96_RS24295,,
PN96_RS15925,,
PN96_RS19310,K00626,"ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
PN96_RS02555,,
PN96_RS23015,K19304,mepM; murein DD-endopeptidase [EC:3.4.24.-]
PN96_RS06275,K01430,ureA; urease subunit gamma [EC:3.5.1.5]
PN96_RS07465,,
PN96_RS01100,K01937,"pyrG, CTPS; CTP synthase [EC:6.3.4.2]"
PN96_RS08330,,
PN96_RS18160,,
PN96_RS13120,K12510,tadB; tight adherence protein B
PN96_RS01970,K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
PN96_RS01470,K03299,"TC.GNTP; gluconate:H+ symporter, GntP family"
PN96_RS12875,K02452,gspC; general secretion pathway protein C
PN96_RS06135,K01118,"acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]"
PN96_RS22780,,
PN96_RS03235,K04072,adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
PN96_RS10545,,
PN96_RS20380,K23775,"ohrR; MarR family transcriptional regulator, organic hydroperoxide resistance regulator"
PN96_RS06820,,
PN96_RS11765,K01703,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
PN96_RS02640,K02409,fliF; flagellar M-ring protein FliF
PN96_RS20745,K26937,"dinF, mepA, vmrA; MATE family, multidrug efflux pump"
PN96_RS07230,K24180,mleP; malate permease and related proteins
PN96_RS13155,K02651,"flp, pilA; pilus assembly protein Flp/PilA"
PN96_RS05870,,
PN96_RS11175,,
PN96_RS18925,K02612,"paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD"
PN96_RS23340,K03415,"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
PN96_RS15530,,
PN96_RS06225,,
PN96_RS10520,,
PN96_RS06435,,
PN96_RS14110,,
PN96_RS03900,,
PN96_RS02560,,
PN96_RS04925,,
PN96_RS20440,K11688,dctP; C4-dicarboxylate-binding protein DctP
PN96_RS18700,,
PN96_RS16845,,
